Year,LocationName,DataSource,Category,Measure,Data_Value_Type,Data_Value,Low_Confidence_Limit,High_Confidence_Limit,TotalPopulation,Geolocation,LocationID,CategoryID,MeasureId,DataValueTypeID,Short_Question_Text
2018,02130,BRFSS,Prevention,"Older adult men aged >=65 years who are up to date on a core set of clinical preventive services: Flu shot past year, PPV shot ever, Colorectal cancer screening",Crude prevalence,37.6,35.9,39.2,35401,POINT (-71.11485808 42.3098728),02130,PREVENT,COREM,CrdPrv,Core preventive services for older men
2019,02129,BRFSS,Health Outcomes,High cholesterol among adults aged >=18 years who have been screened in the past 5 years,Crude prevalence,24.2,23.8,24.5,16439,POINT (-71.063693 42.37894998),02129,HLTHOUT,HIGHCHOL,CrdPrv,High Cholesterol
2019,02129,BRFSS,Health Outcomes,Stroke among adults aged >=18 years,Crude prevalence,2.0,1.9,2.1,16439,POINT (-71.063693 42.37894998),02129,HLTHOUT,STROKE,CrdPrv,Stroke
2019,02129,BRFSS,Health Outcomes,Coronary heart disease among adults aged >=18 years,Crude prevalence,3.9,3.7,4.0,16439,POINT (-71.063693 42.37894998),02129,HLTHOUT,CHD,CrdPrv,Coronary Heart Disease
2018,02129,BRFSS,Prevention,"Fecal occult blood test, sigmoidoscopy, or colonoscopy among adults aged 50-75 years",Crude prevalence,70.2,68.6,71.6,16439,POINT (-71.063693 42.37894998),02129,PREVENT,COLON_SCREEN,CrdPrv,Colorectal Cancer Screening
2019,02129,BRFSS,Health Outcomes,Chronic kidney disease among adults aged >=18 years,Crude prevalence,2.0,1.9,2.0,16439,POINT (-71.063693 42.37894998),02129,HLTHOUT,KIDNEY,CrdPrv,Chronic Kidney Disease
2019,02129,BRFSS,Health Risk Behaviors,Current smoking among adults aged >=18 years,Crude prevalence,11.9,10.6,13.3,16439,POINT (-71.063693 42.37894998),02129,RISKBEH,CSMOKING,CrdPrv,Current Smoking
2019,02129,BRFSS,Health Status,Fair or poor self-rated health status among adults aged >=18 years,Crude prevalence,12.2,11.4,13.2,16439,POINT (-71.063693 42.37894998),02129,HLTHSTAT,GHLTH,CrdPrv,General Health
2019,02129,BRFSS,Prevention,Current lack of health insurance among adults aged 18-64 years,Crude prevalence,7.8,7.0,8.8,16439,POINT (-71.063693 42.37894998),02129,PREVENT,ACCESS2,CrdPrv,Health Insurance
2019,02129,BRFSS,Prevention,Taking medicine for high blood pressure control among adults aged >=18 years with high blood pressure,Crude prevalence,67.9,67.3,68.5,16439,POINT (-71.063693 42.37894998),02129,PREVENT,BPMED,CrdPrv,Taking BP Medication
2018,02129,BRFSS,Prevention,Cervical cancer screening among adult women aged 21-65 years,Crude prevalence,86.6,85.6,87.5,16439,POINT (-71.063693 42.37894998),02129,PREVENT,CERVICAL,CrdPrv,Cervical Cancer Screening
2019,02129,BRFSS,Health Outcomes,Depression among adults aged >=18 years,Crude prevalence,20.0,19.5,20.6,16439,POINT (-71.063693 42.37894998),02129,HLTHOUT,DEPRESSION,CrdPrv,Depression
2019,02129,BRFSS,Health Status,Mental health not good for >=14 days among adults aged >=18 years,Crude prevalence,13.0,12.4,13.8,16439,POINT (-71.063693 42.37894998),02129,HLTHSTAT,MHLTH,CrdPrv,Mental Health
2019,02129,BRFSS,Health Outcomes,Chronic obstructive pulmonary disease among adults aged >=18 years,Crude prevalence,4.0,3.7,4.4,16439,POINT (-71.063693 42.37894998),02129,HLTHOUT,COPD,CrdPrv,COPD
2019,02129,BRFSS,Health Outcomes,Diagnosed diabetes among adults aged >=18 years,Crude prevalence,6.1,5.9,6.3,16439,POINT (-71.063693 42.37894998),02129,HLTHOUT,DIABETES,CrdPrv,Diabetes
2019,02129,BRFSS,Health Outcomes,Obesity among adults aged >=18 years,Crude prevalence,20.4,19.9,20.9,16439,POINT (-71.063693 42.37894998),02129,HLTHOUT,OBESITY,CrdPrv,Obesity
2018,02129,BRFSS,Prevention,Visits to dentist or dental clinic among adults aged >=18 years,Crude prevalence,73.4,71.6,75.2,16439,POINT (-71.063693 42.37894998),02129,PREVENT,DENTAL,CrdPrv,Dental Visit
2019,02129,BRFSS,Health Outcomes,High blood pressure among adults aged >=18 years,Crude prevalence,20.3,19.9,20.7,16439,POINT (-71.063693 42.37894998),02129,HLTHOUT,BPHIGH,CrdPrv,High Blood Pressure
2018,02129,BRFSS,Health Outcomes,All teeth lost among adults aged >=65 years,Crude prevalence,10.6,8.2,13.3,16439,POINT (-71.063693 42.37894998),02129,HLTHOUT,TEETHLOST,CrdPrv,All Teeth Lost
2019,02129,BRFSS,Health Outcomes,Current asthma among adults aged >=18 years,Crude prevalence,10.0,9.8,10.3,16439,POINT (-71.063693 42.37894998),02129,HLTHOUT,CASTHMA,CrdPrv,Current Asthma
2018,02129,BRFSS,Prevention,Mammography use among women aged 50-74 years,Crude prevalence,81.8,80.4,83.0,16439,POINT (-71.063693 42.37894998),02129,PREVENT,MAMMOUSE,CrdPrv,Mammography
2019,02129,BRFSS,Health Status,Physical health not good for >=14 days among adults aged >=18 years,Crude prevalence,9.1,8.6,9.6,16439,POINT (-71.063693 42.37894998),02129,HLTHSTAT,PHLTH,CrdPrv,Physical Health
2019,02129,BRFSS,Health Risk Behaviors,Binge drinking among adults aged >=18 years,Crude prevalence,23.8,23.4,24.1,16439,POINT (-71.063693 42.37894998),02129,RISKBEH,BINGE,CrdPrv,Binge Drinking
2018,02129,BRFSS,Prevention,"Older adult men aged >=65 years who are up to date on a core set of clinical preventive services: Flu shot past year, PPV shot ever, Colorectal cancer screening",Crude prevalence,39.6,36.7,42.5,16439,POINT (-71.063693 42.37894998),02129,PREVENT,COREM,CrdPrv,Core preventive services for older men
2019,02129,BRFSS,Prevention,Visits to doctor for routine checkup within the past year among adults aged >=18 years,Crude prevalence,77.1,76.7,77.6,16439,POINT (-71.063693 42.37894998),02129,PREVENT,CHECKUP,CrdPrv,Annual Checkup
2018,02129,BRFSS,Health Risk Behaviors,Sleeping less than 7 hours among adults aged >=18 years,Crude prevalence,34.1,33.4,34.9,16439,POINT (-71.063693 42.37894998),02129,RISKBEH,SLEEP,CrdPrv,Sleep <7 hours
2019,02129,BRFSS,Prevention,Cholesterol screening among adults aged >=18 years,Crude prevalence,89.5,88.7,90.2,16439,POINT (-71.063693 42.37894998),02129,PREVENT,CHOLSCREEN,CrdPrv,Cholesterol Screening
2019,02129,BRFSS,Health Risk Behaviors,No leisure-time physical activity among adults aged >=18 years,Crude prevalence,21.4,20.3,22.9,16439,POINT (-71.063693 42.37894998),02129,RISKBEH,LPA,CrdPrv,Physical Inactivity
2019,02129,BRFSS,Health Outcomes,Cancer (excluding skin cancer) among adults aged >=18 years,Crude prevalence,5.6,5.5,5.7,16439,POINT (-71.063693 42.37894998),02129,HLTHOUT,CANCER,CrdPrv,Cancer (except skin)
2019,02129,BRFSS,Health Outcomes,Arthritis among adults aged >=18 years,Crude prevalence,18.1,17.7,18.5,16439,POINT (-71.063693 42.37894998),02129,HLTHOUT,ARTHRITIS,CrdPrv,Arthritis
2018,02129,BRFSS,Prevention,"Older adult women aged >=65 years who are up to date on a core set of clinical preventive services: Flu shot past year, PPV shot ever, Colorectal cancer screening, and Mammogram past 2 years",Crude prevalence,30.0,27.7,32.0,16439,POINT (-71.063693 42.37894998),02129,PREVENT,COREW,CrdPrv,Core preventive services for older women
2018,02128,BRFSS,Prevention,Mammography use among women aged 50-74 years,Crude prevalence,79.2,78.2,80.3,40508,POINT (-71.015624 42.36281022),02128,PREVENT,MAMMOUSE,CrdPrv,Mammography
2019,02128,BRFSS,Health Outcomes,Arthritis among adults aged >=18 years,Crude prevalence,18.1,17.8,18.3,40508,POINT (-71.015624 42.36281022),02128,HLTHOUT,ARTHRITIS,CrdPrv,Arthritis
2019,02128,BRFSS,Health Status,Fair or poor self-rated health status among adults aged >=18 years,Crude prevalence,22.1,21.1,23.2,40508,POINT (-71.015624 42.36281022),02128,HLTHSTAT,GHLTH,CrdPrv,General Health
2019,02128,BRFSS,Health Outcomes,Current asthma among adults aged >=18 years,Crude prevalence,10.5,10.3,10.7,40508,POINT (-71.015624 42.36281022),02128,HLTHOUT,CASTHMA,CrdPrv,Current Asthma
2018,02128,BRFSS,Prevention,Visits to dentist or dental clinic among adults aged >=18 years,Crude prevalence,57.8,56.4,59.3,40508,POINT (-71.015624 42.36281022),02128,PREVENT,DENTAL,CrdPrv,Dental Visit
2019,02128,BRFSS,Prevention,Visits to doctor for routine checkup within the past year among adults aged >=18 years,Crude prevalence,74.4,74.0,74.7,40508,POINT (-71.015624 42.36281022),02128,PREVENT,CHECKUP,CrdPrv,Annual Checkup
2019,02128,BRFSS,Health Status,Physical health not good for >=14 days among adults aged >=18 years,Crude prevalence,12.9,12.5,13.4,40508,POINT (-71.015624 42.36281022),02128,HLTHSTAT,PHLTH,CrdPrv,Physical Health
2018,02128,BRFSS,Prevention,"Older adult men aged >=65 years who are up to date on a core set of clinical preventive services: Flu shot past year, PPV shot ever, Colorectal cancer screening",Crude prevalence,31.9,29.7,34.1,40508,POINT (-71.015624 42.36281022),02128,PREVENT,COREM,CrdPrv,Core preventive services for older men
2019,02128,BRFSS,Health Risk Behaviors,Current smoking among adults aged >=18 years,Crude prevalence,16.4,15.6,17.2,40508,POINT (-71.015624 42.36281022),02128,RISKBEH,CSMOKING,CrdPrv,Current Smoking
2019,02128,BRFSS,Health Risk Behaviors,No leisure-time physical activity among adults aged >=18 years,Crude prevalence,32.9,31.8,34.0,40508,POINT (-71.015624 42.36281022),02128,RISKBEH,LPA,CrdPrv,Physical Inactivity
2019,02128,BRFSS,Health Outcomes,Cancer (excluding skin cancer) among adults aged >=18 years,Crude prevalence,4.9,4.8,4.9,40508,POINT (-71.015624 42.36281022),02128,HLTHOUT,CANCER,CrdPrv,Cancer (except skin)
2019,02128,BRFSS,Prevention,Current lack of health insurance among adults aged 18-64 years,Crude prevalence,20.3,18.9,21.6,40508,POINT (-71.015624 42.36281022),02128,PREVENT,ACCESS2,CrdPrv,Health Insurance
2019,02128,BRFSS,Prevention,Cholesterol screening among adults aged >=18 years,Crude prevalence,84.9,84.2,85.6,40508,POINT (-71.015624 42.36281022),02128,PREVENT,CHOLSCREEN,CrdPrv,Cholesterol Screening
2018,02128,BRFSS,Health Risk Behaviors,Sleeping less than 7 hours among adults aged >=18 years,Crude prevalence,38.3,37.9,38.8,40508,POINT (-71.015624 42.36281022),02128,RISKBEH,SLEEP,CrdPrv,Sleep <7 hours
2018,02128,BRFSS,Prevention,"Older adult women aged >=65 years who are up to date on a core set of clinical preventive services: Flu shot past year, PPV shot ever, Colorectal cancer screening, and Mammogram past 2 years",Crude prevalence,22.9,21.1,24.8,40508,POINT (-71.015624 42.36281022),02128,PREVENT,COREW,CrdPrv,Core preventive services for older women
2019,02128,BRFSS,Health Outcomes,Diagnosed diabetes among adults aged >=18 years,Crude prevalence,8.5,8.3,8.7,40508,POINT (-71.015624 42.36281022),02128,HLTHOUT,DIABETES,CrdPrv,Diabetes
2019,02128,BRFSS,Prevention,Taking medicine for high blood pressure control among adults aged >=18 years with high blood pressure,Crude prevalence,65.8,65.4,66.3,40508,POINT (-71.015624 42.36281022),02128,PREVENT,BPMED,CrdPrv,Taking BP Medication
2019,02128,BRFSS,Health Outcomes,Chronic kidney disease among adults aged >=18 years,Crude prevalence,2.5,2.4,2.6,40508,POINT (-71.015624 42.36281022),02128,HLTHOUT,KIDNEY,CrdPrv,Chronic Kidney Disease
2019,02128,BRFSS,Health Outcomes,Stroke among adults aged >=18 years,Crude prevalence,2.6,2.5,2.7,40508,POINT (-71.015624 42.36281022),02128,HLTHOUT,STROKE,CrdPrv,Stroke
2018,02128,BRFSS,Prevention,"Fecal occult blood test, sigmoidoscopy, or colonoscopy among adults aged 50-75 years",Crude prevalence,60.0,58.9,61.1,40508,POINT (-71.015624 42.36281022),02128,PREVENT,COLON_SCREEN,CrdPrv,Colorectal Cancer Screening
2018,02128,BRFSS,Prevention,Cervical cancer screening among adult women aged 21-65 years,Crude prevalence,81.9,81.0,82.7,40508,POINT (-71.015624 42.36281022),02128,PREVENT,CERVICAL,CrdPrv,Cervical Cancer Screening
2019,02128,BRFSS,Health Status,Mental health not good for >=14 days among adults aged >=18 years,Crude prevalence,16.0,15.5,16.5,40508,POINT (-71.015624 42.36281022),02128,HLTHSTAT,MHLTH,CrdPrv,Mental Health
2019,02128,BRFSS,Health Outcomes,High cholesterol among adults aged >=18 years who have been screened in the past 5 years,Crude prevalence,24.4,24.2,24.7,40508,POINT (-71.015624 42.36281022),02128,HLTHOUT,HIGHCHOL,CrdPrv,High Cholesterol
2019,02128,BRFSS,Health Outcomes,High blood pressure among adults aged >=18 years,Crude prevalence,22.4,22.1,22.7,40508,POINT (-71.015624 42.36281022),02128,HLTHOUT,BPHIGH,CrdPrv,High Blood Pressure
2019,02128,BRFSS,Health Risk Behaviors,Binge drinking among adults aged >=18 years,Crude prevalence,22.1,21.8,22.3,40508,POINT (-71.015624 42.36281022),02128,RISKBEH,BINGE,CrdPrv,Binge Drinking
2019,02128,BRFSS,Health Outcomes,Depression among adults aged >=18 years,Crude prevalence,19.6,19.2,20.0,40508,POINT (-71.015624 42.36281022),02128,HLTHOUT,DEPRESSION,CrdPrv,Depression
2019,02128,BRFSS,Health Outcomes,Obesity among adults aged >=18 years,Crude prevalence,25.4,25.0,25.7,40508,POINT (-71.015624 42.36281022),02128,HLTHOUT,OBESITY,CrdPrv,Obesity
2019,02128,BRFSS,Health Outcomes,Chronic obstructive pulmonary disease among adults aged >=18 years,Crude prevalence,5.4,5.1,5.6,40508,POINT (-71.015624 42.36281022),02128,HLTHOUT,COPD,CrdPrv,COPD
2018,02128,BRFSS,Health Outcomes,All teeth lost among adults aged >=65 years,Crude prevalence,21.8,19.0,24.7,40508,POINT (-71.015624 42.36281022),02128,HLTHOUT,TEETHLOST,CrdPrv,All Teeth Lost
2019,02128,BRFSS,Health Outcomes,Coronary heart disease among adults aged >=18 years,Crude prevalence,4.9,4.7,5.0,40508,POINT (-71.015624 42.36281022),02128,HLTHOUT,CHD,CrdPrv,Coronary Heart Disease
2018,02127,BRFSS,Prevention,"Older adult men aged >=65 years who are up to date on a core set of clinical preventive services: Flu shot past year, PPV shot ever, Colorectal cancer screening",Crude prevalence,41.0,38.6,43.5,31799,POINT (-71.05000701 42.33258472),02127,PREVENT,COREM,CrdPrv,Core preventive services for older men
2019,02127,BRFSS,Prevention,Current lack of health insurance among adults aged 18-64 years,Crude prevalence,8.4,7.7,9.2,31799,POINT (-71.05000701 42.33258472),02127,PREVENT,ACCESS2,CrdPrv,Health Insurance
2018,02127,BRFSS,Prevention,"Fecal occult blood test, sigmoidoscopy, or colonoscopy among adults aged 50-75 years",Crude prevalence,70.0,68.8,71.0,31799,POINT (-71.05000701 42.33258472),02127,PREVENT,COLON_SCREEN,CrdPrv,Colorectal Cancer Screening
2019,02127,BRFSS,Health Outcomes,Depression among adults aged >=18 years,Crude prevalence,20.3,19.8,20.9,31799,POINT (-71.05000701 42.33258472),02127,HLTHOUT,DEPRESSION,CrdPrv,Depression
2018,02127,BRFSS,Prevention,Cervical cancer screening among adult women aged 21-65 years,Crude prevalence,85.7,84.7,86.5,31799,POINT (-71.05000701 42.33258472),02127,PREVENT,CERVICAL,CrdPrv,Cervical Cancer Screening
2019,02127,BRFSS,Health Status,Mental health not good for >=14 days among adults aged >=18 years,Crude prevalence,13.5,12.9,14.2,31799,POINT (-71.05000701 42.33258472),02127,HLTHSTAT,MHLTH,CrdPrv,Mental Health
2019,02127,BRFSS,Health Outcomes,Stroke among adults aged >=18 years,Crude prevalence,1.9,1.9,2.0,31799,POINT (-71.05000701 42.33258472),02127,HLTHOUT,STROKE,CrdPrv,Stroke
2018,02127,BRFSS,Prevention,"Older adult women aged >=65 years who are up to date on a core set of clinical preventive services: Flu shot past year, PPV shot ever, Colorectal cancer screening, and Mammogram past 2 years",Crude prevalence,29.9,27.8,32.0,31799,POINT (-71.05000701 42.33258472),02127,PREVENT,COREW,CrdPrv,Core preventive services for older women
2019,02127,BRFSS,Prevention,Taking medicine for high blood pressure control among adults aged >=18 years with high blood pressure,Crude prevalence,66.4,65.8,67.0,31799,POINT (-71.05000701 42.33258472),02127,PREVENT,BPMED,CrdPrv,Taking BP Medication
2019,02127,BRFSS,Health Outcomes,High cholesterol among adults aged >=18 years who have been screened in the past 5 years,Crude prevalence,22.7,22.5,23.0,31799,POINT (-71.05000701 42.33258472),02127,HLTHOUT,HIGHCHOL,CrdPrv,High Cholesterol
2019,02127,BRFSS,Health Outcomes,Chronic obstructive pulmonary disease among adults aged >=18 years,Crude prevalence,3.9,3.6,4.1,31799,POINT (-71.05000701 42.33258472),02127,HLTHOUT,COPD,CrdPrv,COPD
2019,02127,BRFSS,Health Outcomes,Coronary heart disease among adults aged >=18 years,Crude prevalence,3.6,3.5,3.8,31799,POINT (-71.05000701 42.33258472),02127,HLTHOUT,CHD,CrdPrv,Coronary Heart Disease
2019,02127,BRFSS,Health Outcomes,High blood pressure among adults aged >=18 years,Crude prevalence,19.0,18.7,19.3,31799,POINT (-71.05000701 42.33258472),02127,HLTHOUT,BPHIGH,CrdPrv,High Blood Pressure
2019,02127,BRFSS,Health Outcomes,Obesity among adults aged >=18 years,Crude prevalence,19.9,19.5,20.4,31799,POINT (-71.05000701 42.33258472),02127,HLTHOUT,OBESITY,CrdPrv,Obesity
2019,02127,BRFSS,Health Outcomes,Chronic kidney disease among adults aged >=18 years,Crude prevalence,1.9,1.9,2.0,31799,POINT (-71.05000701 42.33258472),02127,HLTHOUT,KIDNEY,CrdPrv,Chronic Kidney Disease
2019,02127,BRFSS,Health Outcomes,Cancer (excluding skin cancer) among adults aged >=18 years,Crude prevalence,5.4,5.3,5.5,31799,POINT (-71.05000701 42.33258472),02127,HLTHOUT,CANCER,CrdPrv,Cancer (except skin)
2018,02127,BRFSS,Health Outcomes,All teeth lost among adults aged >=65 years,Crude prevalence,10.6,8.8,13.3,31799,POINT (-71.05000701 42.33258472),02127,HLTHOUT,TEETHLOST,CrdPrv,All Teeth Lost
2019,02127,BRFSS,Prevention,Visits to doctor for routine checkup within the past year among adults aged >=18 years,Crude prevalence,76.3,75.8,76.6,31799,POINT (-71.05000701 42.33258472),02127,PREVENT,CHECKUP,CrdPrv,Annual Checkup
2019,02127,BRFSS,Health Status,Fair or poor self-rated health status among adults aged >=18 years,Crude prevalence,12.3,11.7,13.0,31799,POINT (-71.05000701 42.33258472),02127,HLTHSTAT,GHLTH,CrdPrv,General Health
2019,02127,BRFSS,Health Status,Physical health not good for >=14 days among adults aged >=18 years,Crude prevalence,8.9,8.6,9.3,31799,POINT (-71.05000701 42.33258472),02127,HLTHSTAT,PHLTH,CrdPrv,Physical Health
2019,02127,BRFSS,Health Risk Behaviors,No leisure-time physical activity among adults aged >=18 years,Crude prevalence,21.1,20.2,22.2,31799,POINT (-71.05000701 42.33258472),02127,RISKBEH,LPA,CrdPrv,Physical Inactivity
2019,02127,BRFSS,Health Risk Behaviors,Binge drinking among adults aged >=18 years,Crude prevalence,25.6,25.3,26.0,31799,POINT (-71.05000701 42.33258472),02127,RISKBEH,BINGE,CrdPrv,Binge Drinking
2019,02127,BRFSS,Health Outcomes,Diagnosed diabetes among adults aged >=18 years,Crude prevalence,5.7,5.6,5.9,31799,POINT (-71.05000701 42.33258472),02127,HLTHOUT,DIABETES,CrdPrv,Diabetes
2018,02127,BRFSS,Prevention,Visits to dentist or dental clinic among adults aged >=18 years,Crude prevalence,73.4,71.8,74.9,31799,POINT (-71.05000701 42.33258472),02127,PREVENT,DENTAL,CrdPrv,Dental Visit
2019,02127,BRFSS,Health Outcomes,Current asthma among adults aged >=18 years,Crude prevalence,10.1,9.9,10.3,31799,POINT (-71.05000701 42.33258472),02127,HLTHOUT,CASTHMA,CrdPrv,Current Asthma
2019,02127,BRFSS,Prevention,Cholesterol screening among adults aged >=18 years,Crude prevalence,88.2,87.5,88.9,31799,POINT (-71.05000701 42.33258472),02127,PREVENT,CHOLSCREEN,CrdPrv,Cholesterol Screening
2018,02127,BRFSS,Prevention,Mammography use among women aged 50-74 years,Crude prevalence,81.3,80.2,82.3,31799,POINT (-71.05000701 42.33258472),02127,PREVENT,MAMMOUSE,CrdPrv,Mammography
2019,02127,BRFSS,Health Risk Behaviors,Current smoking among adults aged >=18 years,Crude prevalence,11.6,10.7,12.7,31799,POINT (-71.05000701 42.33258472),02127,RISKBEH,CSMOKING,CrdPrv,Current Smoking
2018,02127,BRFSS,Health Risk Behaviors,Sleeping less than 7 hours among adults aged >=18 years,Crude prevalence,33.6,33.0,34.3,31799,POINT (-71.05000701 42.33258472),02127,RISKBEH,SLEEP,CrdPrv,Sleep <7 hours
2019,02127,BRFSS,Health Outcomes,Arthritis among adults aged >=18 years,Crude prevalence,16.9,16.6,17.2,31799,POINT (-71.05000701 42.33258472),02127,HLTHOUT,ARTHRITIS,CrdPrv,Arthritis
2019,02125,BRFSS,Health Risk Behaviors,Binge drinking among adults aged >=18 years,Crude prevalence,20.2,20.0,20.4,33295,POINT (-71.05695972 42.3162008),02125,RISKBEH,BINGE,CrdPrv,Binge Drinking
2018,02125,BRFSS,Prevention,"Fecal occult blood test, sigmoidoscopy, or colonoscopy among adults aged 50-75 years",Crude prevalence,63.8,62.9,64.7,33295,POINT (-71.05695972 42.3162008),02125,PREVENT,COLON_SCREEN,CrdPrv,Colorectal Cancer Screening
2019,02125,BRFSS,Health Outcomes,Stroke among adults aged >=18 years,Crude prevalence,3.1,3.0,3.1,33295,POINT (-71.05695972 42.3162008),02125,HLTHOUT,STROKE,CrdPrv,Stroke
2019,02125,BRFSS,Prevention,Current lack of health insurance among adults aged 18-64 years,Crude prevalence,14.3,13.5,15.0,33295,POINT (-71.05695972 42.3162008),02125,PREVENT,ACCESS2,CrdPrv,Health Insurance
2019,02125,BRFSS,Health Outcomes,High blood pressure among adults aged >=18 years,Crude prevalence,25.3,25.0,25.5,33295,POINT (-71.05695972 42.3162008),02125,HLTHOUT,BPHIGH,CrdPrv,High Blood Pressure
2018,02125,BRFSS,Prevention,"Older adult men aged >=65 years who are up to date on a core set of clinical preventive services: Flu shot past year, PPV shot ever, Colorectal cancer screening",Crude prevalence,32.5,30.9,34.2,33295,POINT (-71.05695972 42.3162008),02125,PREVENT,COREM,CrdPrv,Core preventive services for older men
2019,02125,BRFSS,Health Outcomes,High cholesterol among adults aged >=18 years who have been screened in the past 5 years,Crude prevalence,24.4,24.2,24.6,33295,POINT (-71.05695972 42.3162008),02125,HLTHOUT,HIGHCHOL,CrdPrv,High Cholesterol
2019,02125,BRFSS,Health Outcomes,Coronary heart disease among adults aged >=18 years,Crude prevalence,4.8,4.7,4.9,33295,POINT (-71.05695972 42.3162008),02125,HLTHOUT,CHD,CrdPrv,Coronary Heart Disease
2018,02125,BRFSS,Prevention,Visits to dentist or dental clinic among adults aged >=18 years,Crude prevalence,61.5,60.4,62.6,33295,POINT (-71.05695972 42.3162008),02125,PREVENT,DENTAL,CrdPrv,Dental Visit
2019,02125,BRFSS,Health Outcomes,Chronic kidney disease among adults aged >=18 years,Crude prevalence,2.6,2.6,2.7,33295,POINT (-71.05695972 42.3162008),02125,HLTHOUT,KIDNEY,CrdPrv,Chronic Kidney Disease
2018,02125,BRFSS,Health Risk Behaviors,Sleeping less than 7 hours among adults aged >=18 years,Crude prevalence,40.5,40.1,40.9,33295,POINT (-71.05695972 42.3162008),02125,RISKBEH,SLEEP,CrdPrv,Sleep <7 hours
2019,02125,BRFSS,Prevention,Cholesterol screening among adults aged >=18 years,Crude prevalence,86.0,85.3,86.6,33295,POINT (-71.05695972 42.3162008),02125,PREVENT,CHOLSCREEN,CrdPrv,Cholesterol Screening
2019,02125,BRFSS,Prevention,Taking medicine for high blood pressure control among adults aged >=18 years with high blood pressure,Crude prevalence,68.7,68.4,69.0,33295,POINT (-71.05695972 42.3162008),02125,PREVENT,BPMED,CrdPrv,Taking BP Medication
2019,02125,BRFSS,Health Outcomes,Cancer (excluding skin cancer) among adults aged >=18 years,Crude prevalence,4.7,4.7,4.8,33295,POINT (-71.05695972 42.3162008),02125,HLTHOUT,CANCER,CrdPrv,Cancer (except skin)
2019,02125,BRFSS,Health Status,Fair or poor self-rated health status among adults aged >=18 years,Crude prevalence,20.5,19.8,21.3,33295,POINT (-71.05695972 42.3162008),02125,HLTHSTAT,GHLTH,CrdPrv,General Health
2019,02125,BRFSS,Health Outcomes,Depression among adults aged >=18 years,Crude prevalence,19.6,19.2,19.9,33295,POINT (-71.05695972 42.3162008),02125,HLTHOUT,DEPRESSION,CrdPrv,Depression
2018,02125,BRFSS,Prevention,Cervical cancer screening among adult women aged 21-65 years,Crude prevalence,81.7,81.0,82.4,33295,POINT (-71.05695972 42.3162008),02125,PREVENT,CERVICAL,CrdPrv,Cervical Cancer Screening
2019,02125,BRFSS,Health Risk Behaviors,No leisure-time physical activity among adults aged >=18 years,Crude prevalence,31.2,30.4,32.1,33295,POINT (-71.05695972 42.3162008),02125,RISKBEH,LPA,CrdPrv,Physical Inactivity
2019,02125,BRFSS,Prevention,Visits to doctor for routine checkup within the past year among adults aged >=18 years,Crude prevalence,77.6,77.4,77.9,33295,POINT (-71.05695972 42.3162008),02125,PREVENT,CHECKUP,CrdPrv,Annual Checkup
2019,02125,BRFSS,Health Risk Behaviors,Current smoking among adults aged >=18 years,Crude prevalence,16.7,16.0,17.5,33295,POINT (-71.05695972 42.3162008),02125,RISKBEH,CSMOKING,CrdPrv,Current Smoking
2019,02125,BRFSS,Health Status,Physical health not good for >=14 days among adults aged >=18 years,Crude prevalence,12.9,12.6,13.3,33295,POINT (-71.05695972 42.3162008),02125,HLTHSTAT,PHLTH,CrdPrv,Physical Health
2019,02125,BRFSS,Health Outcomes,Current asthma among adults aged >=18 years,Crude prevalence,11.9,11.7,12.1,33295,POINT (-71.05695972 42.3162008),02125,HLTHOUT,CASTHMA,CrdPrv,Current Asthma
2018,02125,BRFSS,Prevention,Mammography use among women aged 50-74 years,Crude prevalence,81.3,80.6,82.1,33295,POINT (-71.05695972 42.3162008),02125,PREVENT,MAMMOUSE,CrdPrv,Mammography
2019,02125,BRFSS,Health Outcomes,Diagnosed diabetes among adults aged >=18 years,Crude prevalence,9.4,9.2,9.6,33295,POINT (-71.05695972 42.3162008),02125,HLTHOUT,DIABETES,CrdPrv,Diabetes
2019,02125,BRFSS,Health Outcomes,Arthritis among adults aged >=18 years,Crude prevalence,19.2,19.0,19.4,33295,POINT (-71.05695972 42.3162008),02125,HLTHOUT,ARTHRITIS,CrdPrv,Arthritis
2019,02125,BRFSS,Health Outcomes,Chronic obstructive pulmonary disease among adults aged >=18 years,Crude prevalence,5.5,5.3,5.7,33295,POINT (-71.05695972 42.3162008),02125,HLTHOUT,COPD,CrdPrv,COPD
2019,02125,BRFSS,Health Outcomes,Obesity among adults aged >=18 years,Crude prevalence,25.2,24.9,25.5,33295,POINT (-71.05695972 42.3162008),02125,HLTHOUT,OBESITY,CrdPrv,Obesity
2018,02125,BRFSS,Prevention,"Older adult women aged >=65 years who are up to date on a core set of clinical preventive services: Flu shot past year, PPV shot ever, Colorectal cancer screening, and Mammogram past 2 years",Crude prevalence,24.3,23.2,25.5,33295,POINT (-71.05695972 42.3162008),02125,PREVENT,COREW,CrdPrv,Core preventive services for older women
2019,02125,BRFSS,Health Status,Mental health not good for >=14 days among adults aged >=18 years,Crude prevalence,17.2,16.7,17.7,33295,POINT (-71.05695972 42.3162008),02125,HLTHSTAT,MHLTH,CrdPrv,Mental Health
2018,02125,BRFSS,Health Outcomes,All teeth lost among adults aged >=65 years,Crude prevalence,17.9,16.2,19.6,33295,POINT (-71.05695972 42.3162008),02125,HLTHOUT,TEETHLOST,CrdPrv,All Teeth Lost
